StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q24,Q29,Q33,Q12,Q13,Q14,Q9,Q10,Q11,Q15,Q16,Q17,Q28,Q18,Q19,Q20,Q22,Q23,Q21,Q26,Q27,Q_RecaptchaStatus,Q_RecaptchaError,Q_TerminateFlag,Condition,FL_7_DO
2026-05-07 21:18:40,2026-05-07 21:21:22,IP Address,195.240.243.95,100,162,True,2026-05-07 21:52:56,R_2O20XZnWZjGGn4d,,,,,51.9188,4.4721,anonymous,EN,1,"Yes, I agree",Disagree,Strongly disagree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,18 - 24,Female,complete,,,Low,FL_31
2026-05-07 21:20:24,2026-05-07 21:32:29,IP Address,172.225.253.138,100,725,True,2026-05-07 21:54:41,R_2tnZJvtCAjtwBst,,,,,52.3716,4.8883,anonymous,EN,1,"Yes, I agree",Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,25 - 34,Female,complete,,,Low,FL_31
2026-05-08 00:51:43,2026-05-08 01:26:05,IP Address,86.83.141.164,100,2062,True,2026-05-07 22:00:50,R_2mmhfADx6dfzK0q,,,,,52.3252,4.9711,anonymous,EN,1,"Yes, I agree",Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,25 - 34,Female,complete,,,Low,FL_31
2026-05-08 01:36:55,2026-05-08 01:41:26,IP Address,82.75.17.125,100,271,True,2026-05-07 22:27:59,R_2LXC127FroAB1f4,,,,,52.2023,4.6355,anonymous,EN,1,"Yes, I agree",Agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,18 - 24,Female,complete,,,High,FL_29
2026-05-08 02:25:21,2026-05-08 02:28:18,IP Address,94.210.87.137,100,177,True,2026-05-07 23:51:40,R_8pcilvrdYHbHpkJ,,,,,52.6531,5.0939,anonymous,EN,1,"Yes, I agree",Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,18 - 24,Male,complete,,,High,FL_29
2026-05-08 04:04:33,2026-05-08 04:08:32,IP Address,86.104.22.61,100,239,True,2026-05-08 10:26:01,R_8rC5DXduqF7bio1,,,,,52.3716,4.8883,anonymous,EN,1,"Yes, I agree",Disagree,Disagree,Disagree,Agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,18 - 24,Female,complete,,,Low,FL_31
2026-05-08 06:01:19,2026-05-08 06:04:10,IP Address,188.90.57.122,100,171,True,2026-05-08 10:38:03,R_8QlejqA6ctu92Iw,,,,,52.3933,5.2669,anonymous,EN,0.800000011920929,"Yes, I agree",Agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Disagree,18 - 24,Female,complete,,,High,FL_29
2026-05-08 07:55:01,2026-05-08 08:00:26,IP Address,57.133.52.154,100,325,True,2026-05-08 11:00:18,R_2s55nNnaqzA4DFf,,,,,52.3716,4.8883,anonymous,EN,1,"Yes, I agree",Somewhat agree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,25 - 34,Female,complete,,,Low,FL_31
2026-05-08 10:14:02,2026-05-08 10:21:40,IP Address,104.28.30.74,100,458,True,2026-05-08 11:57:53,R_8EYlbQH0pX6Ri2R,,,,,52.3716,4.8883,anonymous,EN,1,"Yes, I agree",Agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Disagree,Strongly disagree,Disagree,18 - 24,Female,complete,,,High,FL_29
2026-05-08 11:03:47,2026-05-08 11:06:28,IP Address,217.103.246.250,100,161,True,2026-05-08 12:06:43,R_2B5RXNmmcwc8Tvb,,,,,51.9191,4.4414,anonymous,EN,1,"Yes, I agree",Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,25 - 34,Male,complete,,,Low,FL_31
2026-05-08 12:44:00,2026-05-08 12:45:57,IP Address,145.109.175.247,100,117,True,2026-05-08 13:24:05,R_2FLtPKIWuGltOQj,,,,,52.4642,4.6102,anonymous,EN,1,"Yes, I agree",Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,18 - 24,Female,complete,,,Low,FL_31
2026-05-08 13:35:51,2026-05-08 13:38:47,IP Address,92.108.208.108,100,176,True,2026-05-08 13:31:10,R_8oz1aJ9MlZw5fxu,,,,,52.3555,5.0003,anonymous,EN,1,"Yes, I agree",Somewhat disagree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Disagree,25 - 34,Male,complete,,,Low,FL_31
2026-05-08 14:02:36,2026-05-08 14:06:04,IP Address,94.157.251.246,100,208,True,2026-05-08 14:38:02,R_87z0hciZEt2aDSN,,,,,52.4982,4.939,anonymous,EN,1,"Yes, I agree",Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,18 - 24,Female,complete,,,High,FL_29
2026-05-08 14:04:51,2026-05-08 14:07:41,IP Address,145.108.79.199,100,170,True,2026-05-08 14:44:04,R_8wSwAeFjqvPLic2,,,,,52.3746,4.8552,anonymous,EN,1,"Yes, I agree",Somewhat disagree,Disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Disagree,Disagree,25 - 34,Female,complete,,,Low,FL_31
2026-05-08 18:21:36,2026-05-08 18:25:01,IP Address,82.170.187.146,100,205,True,2026-05-08 14:45:23,R_8i8vq4sHefM33qS,,,,,52.3179,4.9521,anonymous,EN,1,"Yes, I agree",Somewhat agree,Agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat disagree,25 - 34,Male,complete,,,High,FL_29
2026-05-08 18:35:47,2026-05-08 18:41:08,IP Address,186.179.163.109,100,321,True,2026-05-08 15:34:43,R_7fC25hlX3epwEES,,,,,5.8667,-55.1642,anonymous,EN,1,"Yes, I agree",Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat disagree,Somewhat disagree,35 - 44,Female,complete,,,High,FL_29
2026-05-08 18:40:44,2026-05-08 18:46:33,IP Address,172.225.252.208,100,349,True,2026-05-08 15:57:44,R_87Wr4jZqz27AQoe,,,,,52.3716,4.8883,anonymous,EN,1,"Yes, I agree",Agree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat disagree,Disagree,Disagree,18 - 24,Male,complete,,,High,FL_29
2026-05-08 20:18:25,2026-05-08 20:22:48,IP Address,217.120.7.16,100,263,True,2026-05-08 17:22:34,R_2D1SGxCumlIUTJC,,,,,52.4363,4.8277,anonymous,EN,1,"Yes, I agree",Disagree,Disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,45 - 54,Female,complete,,,Low,FL_31
2026-05-08 22:46:53,2026-05-09 17:46:52,IP Address,94.209.98.175,100,68399,True,2026-05-08 17:55:53,R_8MKyMSdsU6KjXlB,,,,,52.3481,4.6015,anonymous,EN,0.89999997615814209,"Yes, I agree",Agree,Somewhat agree,Somewhat disagree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,18 - 24,Male,complete,,,High,FL_29
2026-05-09 05:18:33,2026-05-09 05:20:35,IP Address,213.124.209.5,100,122,True,2026-05-08 20:51:54,R_2rTxmxCtpjgjFvZ,,,,,52.36,4.8084,anonymous,EN,1,"Yes, I agree",Agree,Somewhat disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,18 - 24,Female,complete,,,High,FL_29
2026-05-09 07:14:36,2026-05-09 07:18:12,IP Address,104.28.30.75,100,216,True,2026-05-09 02:39:36,R_8lrCZf9JGtcVeZX,,,,,52.3716,4.8883,anonymous,EN,1,"Yes, I agree",Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,25 - 34,Male,complete,,,High,FL_29
2026-05-09 10:34:11,2026-05-09 10:37:04,IP Address,94.157.207.85,100,173,True,2026-05-09 12:48:18,R_8PdJBnZjXsJdQeR,,,,,52.3672,4.918,anonymous,EN,0.800000011920929,"Yes, I agree",Somewhat agree,Strongly disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,18 - 24,Female,complete,,,Low,FL_31
2026-05-09 13:19:51,2026-05-09 13:25:41,IP Address,178.231.202.221,100,350,True,2026-05-09 13:41:37,R_83cZircOJePrclS,,,,,51.9179,4.4901,anonymous,EN,1,"Yes, I agree",Agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Somewhat agree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,25 - 34,Female,complete,,,High,FL_29
2026-05-09 14:34:15,2026-05-09 14:37:15,IP Address,104.28.30.76,100,180,True,2026-05-11 12:36:21,R_8goqEwBuXKrGP4V,,,,,52.3716,4.8883,anonymous,EN,1,"Yes, I agree",Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,18 - 24,Female,complete,,,Low,FL_31
2026-05-09 14:44:05,2026-05-09 14:46:18,IP Address,89.200.43.119,100,133,True,2026-05-11 20:06:01,R_8FQy49ET53f1gEJ,,,,,51.9235,4.4813,anonymous,EN,1,"Yes, I agree",Agree,Agree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Disagree,18 - 24,Female,complete,,,High,FL_29
2026-05-09 15:41:24,2026-05-09 15:45:20,IP Address,80.112.166.227,100,236,True,2026-05-11 21:11:02,R_2jsGifNGShrwEwx,,,,,52.3179,4.9521,anonymous,EN,1,"Yes, I agree",Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,18 - 24,Female,complete,,,High,FL_29
2026-05-09 18:11:56,2026-05-09 18:14:05,IP Address,178.231.185.142,100,129,True,2026-05-12 00:53:18,R_2CmrNgxuss7IoWm,,,,,52.3746,4.8552,anonymous,EN,1,"Yes, I agree",Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Disagree,25 - 34,Female,complete,,,Low,FL_31
2026-05-09 19:18:25,2026-05-09 19:23:55,IP Address,77.63.9.40,100,330,True,2026-05-13 18:08:03,R_8QggzcEe7mrOz1g,,,,,52.3824,4.8995,anonymous,EN,1,"Yes, I agree",Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,18 - 24,Female,complete,,,High,FL_29
2026-05-09 19:49:00,2026-05-09 19:51:33,IP Address,92.108.208.110,100,153,True,2026-05-14 16:49:17,R_8q1c9iX47SlOgiR,,,,,52.3555,5.0003,anonymous,EN,1,"Yes, I agree",Disagree,Disagree,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Disagree,18 - 24,Female,complete,,,Low,FL_31
2026-05-09 21:18:25,2026-05-09 21:21:18,IP Address,92.108.208.111,100,173,True,2026-05-14 16:49:29,R_2suJcwQb6WTldJu,,,,,52.3555,5.0003,anonymous,EN,1,"Yes, I agree",Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Disagree,25 - 34,Male,complete,,,Low,FL_31
2026-05-09 21:22:35,2026-05-09 21:24:12,IP Address,92.108.208.112,100,97,True,2026-05-14 16:51:15,R_2kPN1kf68OM17Mt,,,,,52.3555,5.0003,anonymous,EN,1,"Yes, I agree",Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Somewhat agree,Disagree,18 - 24,Female,complete,,,High,FL_29
2026-05-10 00:09:11,2026-05-10 02:53:27,IP Address,87.208.80.87,54,9856,False,2026-05-15 19:38:30,R_8CD6NQTYOkQIB7C,,,,,52.0901,4.3361,anonymous,EN,1,"Yes, I agree",Somewhat agree,Agree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Strongly agree,,,,,,,,,,,,,complete,,,High,FL_29
2026-05-10 00:20:11,2026-05-10 00:20:34,IP Address,188.207.75.159,19,23,False,2026-05-15 20:46:23,R_8w6wN5s4QTtFdDv,,,,,52.3824,4.8995,anonymous,EN,0.800000011920929,"Yes, I agree",,,,,,,,,,,,,,,,,,,,,,complete,,,Low,FL_31
2026-05-10 01:13:47,2026-05-10 01:14:11,IP Address,188.207.113.30,19,24,False,2026-05-16 02:21:46,R_8rCxHVhVHN3BPG3,,,,,52.3824,4.8995,anonymous,EN,0.800000011920929,"Yes, I agree",,,,,,,,,,,,,,,,,,,,,,complete,,,Low,FL_31
2026-05-10 01:31:16,2026-05-13 01:24:08,IP Address,178.230.51.156,65,258772,False,2026-05-18 12:11:46,R_2GVOiQ3NGiQSLst,,,,,52.0632,4.3188,anonymous,EN,1,"Yes, I agree",Agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,,,,,,,complete,,,High,FL_29
2026-05-10 02:06:28,2026-05-10 02:10:25,IP Address,85.145.105.187,100,237,True,2026-05-18 21:10:51,R_8PIh1E0h1Mr2qbZ,,,,,52.4092,4.911,anonymous,EN,1,"Yes, I agree",Agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Strongly disagree,Strongly disagree,18 - 24,Female,complete,,,High,FL_29
2026-05-10 02:25:30,2026-05-10 02:30:25,IP Address,86.104.23.159,100,295,True,2026-05-18 21:12:06,R_2CjsWr6mRxXIZcF,,,,,52.3716,4.8883,anonymous,EN,1,"Yes, I agree",Somewhat disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,18 - 24,Female,complete,,,Low,FL_31
2026-05-10 06:39:13,2026-05-10 06:41:54,IP Address,80.112.142.76,100,161,True,2026-05-18 21:12:33,R_217hr6TU9DbTrHe,,,,,52.3066,4.8812,anonymous,EN,1,"Yes, I agree",Somewhat agree,Disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Disagree,Disagree,Agree,Somewhat agree,Somewhat disagree,18 - 24,Male,complete,,,Low,FL_31
2026-05-10 06:56:12,2026-05-10 07:03:01,IP Address,95.99.133.205,100,409,True,2026-05-18 21:14:09,R_8vjDMVrfHsbE2yX,,,,,52.1393,4.4557,anonymous,EN,1,"Yes, I agree",Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Disagree,Disagree,18 - 24,Female,complete,,,High,FL_29
